"","id","flaw","correct"
"38","5a05e32e7ecfc50001be0cc3","outliers",0.304347826086957
"39","5a3c5b606d85f80001c23025","outliers",0.91304347826087
"40","5a64a72ac0d836000107c2f9","outliers",0.652173913043478
"41","5a70d41c9cdd1800017763d7","outliers",0.130434782608696
"42","5a74ceb0ae9a0b0001a95423","outliers",0.739130434782609
"43","5a91e88bdbdb470001ee8768","outliers",0.826086956521739
"44","5ab15ab4c42b630001cd36fb","outliers",0.652173913043478
"45","5ab2d60d580b9900017303a9","outliers",0
"46","5ab549eafa3b4e000172c75e","outliers",0.652173913043478
"47","5ab552656db3e700011bea12","outliers",0.478260869565217
"48","5ab5ab906db3e700011bed75%40email.prolific.ac","outliers",0.130434782608696
"49","5ab629b3a3ba7a0001b401d7","outliers",0.347826086956522
"50","5ab63897e1546900019b5c62","outliers",0.695652173913043
"51","5ab69186ead3eb0001518cba","outliers",0.695652173913043
"52","5ab6c94cfa3b4e000172d295%40email.prolific.ac","outliers",0.434782608695652
"53","5ab729130527ba0001c17fbd","outliers",1
"54","5ab73778a3ba7a0001b409e7","outliers",0.217391304347826
"55","5ab741e2892136000182f355","outliers",0.91304347826087
"56","5ab774c047a9f70001539c81","outliers",0.173913043478261
"57","5ab77fe95cd1050001619c28","outliers",0.956521739130435
"58","5ab7a09b47a9f70001539e96","outliers",0.0869565217391304
"59","5ab7d3cef69e940001d8ebe7","outliers",0.565217391304348
"60","5ab7de31e1546900019b6a5d","outliers",0.304347826086957
"61","55ea70c37480920010aa9982","spike",0.869565217391304
"62","567b4ea8b7d79a0012b27089","spike",0.565217391304348
"63","578fc7e8275be60001359ac0","spike",0.565217391304348
"64","57aa430b4cda6e00018420e9","spike",0.608695652173913
"65","597799e831c269000130c137","spike",0.0869565217391304
"66","597cefff64e7b900018e61df","spike",0.521739130434783
"67","59e7d3f97f3d71000171def0","spike",0.782608695652174
"68","5a05e32e7ecfc50001be0cc3","spike",0.478260869565217
"69","5a3c5b606d85f80001c23025","spike",0.565217391304348
"70","5a64a72ac0d836000107c2f9","spike",0.869565217391304
"71","5a70d41c9cdd1800017763d7","spike",0.695652173913043
"72","5a74ceb0ae9a0b0001a95423","spike",0.478260869565217
"73","5a91e88bdbdb470001ee8768","spike",0.478260869565217
"74","5ab15ab4c42b630001cd36fb","spike",0
"75","5ab2d60d580b9900017303a9","spike",0.434782608695652
"76","5ab549eafa3b4e000172c75e","spike",0.347826086956522
"77","5ab552656db3e700011bea12","spike",0.260869565217391
"78","5ab5ab906db3e700011bed75%40email.prolific.ac","spike",0.608695652173913
"79","5ab629b3a3ba7a0001b401d7","spike",0.521739130434783
"80","5ab63897e1546900019b5c62","spike",0.565217391304348
"81","5ab69186ead3eb0001518cba","spike",0.391304347826087
"82","5ab6c94cfa3b4e000172d295%40email.prolific.ac","spike",0.869565217391304
"83","5ab729130527ba0001c17fbd","spike",0.956521739130435
"84","5ab73778a3ba7a0001b409e7","spike",0.869565217391304
"85","5ab741e2892136000182f355","spike",0.782608695652174
"86","5ab774c047a9f70001539c81","spike",0.695652173913043
"87","5ab77fe95cd1050001619c28","spike",0.391304347826087
"88","5ab7a09b47a9f70001539e96","spike",0.869565217391304
"89","5ab7d3cef69e940001d8ebe7","spike",0.652173913043478
"90","5ab7de31e1546900019b6a5d","spike",0.739130434782609
